tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
546184	Mycobacterium phage Phaedrus	6470039	0	live	PHAEDRUS_1	PHAEDRUS_1	gp1				NC_011057.1	73	693	plus	0		
546184	Mycobacterium phage Phaedrus	6470002	0	live	PHAEDRUS_10	PHAEDRUS_10	gp10				NC_011057.1	6231	8135	plus	0		
546184	Mycobacterium phage Phaedrus	6469991	0	live	PHAEDRUS_11	PHAEDRUS_11	gp11				NC_011057.1	8125	10557	plus	0		
546184	Mycobacterium phage Phaedrus	6470025	0	live	PHAEDRUS_12	PHAEDRUS_12	gp12				NC_011057.1	10557	10763	plus	0		
546184	Mycobacterium phage Phaedrus	6470035	0	live	PHAEDRUS_13	PHAEDRUS_13	gp13				NC_011057.1	10943	12958	plus	0		
546184	Mycobacterium phage Phaedrus	6469989	0	live	PHAEDRUS_14	PHAEDRUS_14	gp14				NC_011057.1	13057	13866	plus	0		
546184	Mycobacterium phage Phaedrus	6470055	0	live	PHAEDRUS_15	PHAEDRUS_15	gp15				NC_011057.1	13882	14487	plus	0		
546184	Mycobacterium phage Phaedrus	6470066	0	live	PHAEDRUS_16	PHAEDRUS_16	gp16				NC_011057.1	14604	14918	plus	0		
546184	Mycobacterium phage Phaedrus	6470005	0	live	PHAEDRUS_17	PHAEDRUS_17	gp17				NC_011057.1	14921	15382	plus	0		
546184	Mycobacterium phage Phaedrus	6469999	0	live	PHAEDRUS_18	PHAEDRUS_18	gp18				NC_011057.1	15379	15858	plus	0		
546184	Mycobacterium phage Phaedrus	6470004	0	live	PHAEDRUS_19	PHAEDRUS_19	gp19				NC_011057.1	15855	16187	plus	0		
546184	Mycobacterium phage Phaedrus	6470019	0	live	PHAEDRUS_2	PHAEDRUS_2	gp2				NC_011057.1	737	961	plus	0		
546184	Mycobacterium phage Phaedrus	6470072	0	live	PHAEDRUS_20	PHAEDRUS_20	gp20				NC_011057.1	16275	17354	plus	0		
546184	Mycobacterium phage Phaedrus	6470085	0	live	PHAEDRUS_21	PHAEDRUS_21	gp21				NC_011057.1	17655	18395	plus	0		
546184	Mycobacterium phage Phaedrus	6470084	0	live	PHAEDRUS_22	PHAEDRUS_22	gp22				NC_011057.1	18392	18913	plus	0		
546184	Mycobacterium phage Phaedrus	6470077	0	live	PHAEDRUS_23	PHAEDRUS_23	gp23				NC_011057.1	18924	19295	plus	0		
546184	Mycobacterium phage Phaedrus	6470076	0	live	PHAEDRUS_24	PHAEDRUS_24	gp24				NC_011057.1	19399	19692	plus	0		
546184	Mycobacterium phage Phaedrus	6470073	0	live	PHAEDRUS_25	PHAEDRUS_25	gp25				NC_011057.1	19692	20285	plus	0		
546184	Mycobacterium phage Phaedrus	6470070	0	live	PHAEDRUS_26	PHAEDRUS_26	gp26				NC_011057.1	20311	26055	plus	0		
546184	Mycobacterium phage Phaedrus	6470065	0	live	PHAEDRUS_27	PHAEDRUS_27	gp27				NC_011057.1	26065	27495	plus	0		
546184	Mycobacterium phage Phaedrus	6470063	0	live	PHAEDRUS_28	PHAEDRUS_28	gp28				NC_011057.1	27492	28535	plus	0		
546184	Mycobacterium phage Phaedrus	6470061	0	live	PHAEDRUS_29	PHAEDRUS_29	gp29				NC_011057.1	28532	30757	plus	0		
